,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1: Reported Portfolio Investment Assets by Economy of Nonresident Issuer: Total Portfolio Investment,,,,,,,,,,,,,,,,,,,,,,,,,
,"End-of-Period, US Dollars, Millions",,,,,,,,,,,,,,,,,,,,,,,,,
,,DEC. 2001,DEC. 2002,DEC. 2003,DEC. 2004,DEC. 2005,DEC. 2006,DEC. 2007,DEC. 2008,DEC. 2009,DEC. 2010,DEC. 2011,DEC. 2012,JUN. 2013,DEC. 2013,JUN. 2014,DEC. 2014,JUN. 2015,DEC. 2015,JUN. 2016,DEC. 2016,JUN. 2017,DEC. 2017,JUN. 2018,DEC. 2018,JUN. 2019
,Australia,55182.65,58616.00,90502.00,103411.76,128202.00,173153.00,222570.00,145542.00,276431.00,323303.00,333584.00,351064.00,336731.59,337804.80,344702.00,311486.00,318217.00,295959.00,296136.00,296183.00,324698.00,354874.00,357404.00,332553.00,364681.00
,Brazil,34129.57,24865.00,50229.00,62998.97,90285.00,110294.00,188807.00,91453.00,212809.00,235129.00,196178.00,216116.00,179630.00,179869.50,201242.50,165863.00,157006.00,116193.00,141424.00,150929.00,161873.00,182232.00,162585.00,168692.00,192891.00
,Canada,211443.86,230841.00,300978.00,344668.82,418925.00,477889.00,586454.00,378435.00,540255.00,695213.00,736180.00,808022.00,792871.45,825946.50,909238.00,844179.00,840611.00,705290.00,809485.00,831037.00,885796.00,995893.00,1009758.00,981173.00,1112137.00
,"Hong Kong SAR, China",32047.17,23657.00,37661.00,37350.48,46225.00,87518.00,121276.00,64816.00,92886.00,134817.00,115644.00,144743.00,126406.39,140162.30,145329.50,150785.00,156670.00,136033.00,126980.00,124224.00,145839.00,163536.00,167630.00,170544.00,195387.00
,China,3003.88,4963.00,13738.00,12722.52,28443.00,75314.00,97240.00,54902.00,102303.00,102226.00,76799.00,120392.00,119180.86,103326.90,103464.00,133274.00,153627.00,107725.00,98687.00,101350.00,130257.00,162282.00,173885.00,159127.00,206020.00
,Denmark,12121.48,13519.00,22141.00,23882.45,25275.00,33978.00,47157.00,32337.00,37582.00,48905.00,43235.00,49269.00,49598.11,61460.40,75712.00,69233.00,81799.00,90082.00,91228.00,75340.00,96625.00,110150.00,92348.00,83604.00,101987.00
,India,7197.60,8975.00,18699.00,23524.83,33226.00,49231.00,85149.00,31917.00,65495.00,91486.00,58594.00,78846.00,79428.38,85609.90,114266.10,129208.00,137285.00,130033.00,134306.00,133009.00,169203.00,194444.00,182998.00,176016.00,199100.00
