"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","73630000","78730000","90920000","87070000","97930000","119590000","142110000","181240000","177590000","216670000","187620000","172330000","222190000","219910000","208010000","293710614.52514","339727932.960894","295220700","295424000","273513400","337819600","372082100","604898900","578220110","568163690","536675980","602222300","532720670","559751000","709800560","807960890","777461452.513966","852082680","",
"Afghanistan","AFG","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","9240000","8130000","8980000","12100000","5300000","6120000","8180000","12530000","26950866.9490591","20802860.8667313","21613158.2184247","27638356.9291449","86547903.8259791","130918577.344226","275820946.524611","390555119.75129","441211039.414711","371168468.528784","274293257.48599","257752305.64221","214163539.774343","228707637.222427","295206731.107206","258523642.31282","279676447.388954","261124191.573253","243694707.861329","266400667.368511","234894920.253472","","","","","","","","","","","","","","","","","2430835946.06326","3501370863.63846","4174367357.95956","5268341390.29608","5982504170.91045","6441933255.85729","6680725917.17282","6231780913.18054","6476337158.7771","7185835046.00596","7305675819.84186","",
"Angola","AGO","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228335521.177058","555691254.40397","392514285.939726","202442614.084957","491400189.57731","1198212373.02401","731866198.100655","375545950.307129","634199422.3308","1379588147.35472","3196850749.33725","8149079645.64961","11196800894.0338","17869411576.4837","13664098153.6474","19678661657.2159","27039761554.085","31161778888.6797","31500815461.6599","27032344084.4907","23790543425.2351","23672191989.4347","17455327770.6619","15410405365.47","",
"Albania","ALB","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147417856.260101","204804119.835972","241050766.728901","280860655.247386","308927385.475584","384220653.945883","488299674.829377","615647336.301304","739902999.384293","838777691.779188","1009421265.59302","1357601602.30432","1404087725.1731","1768802845.01829","2104224658.50648","2319777467.39249","2313907809.29456","2469547483.72045","2393924086.43353","2515654270.9457","2712322498.02399","2604184281.7985","3084875025.96501","3050641047.15459","3523758656.8278","3829477531.06681","",
"Andorra","AND","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","91723795.1680123","452878020.575418","987879902.290253","1906464975.58128","800259030.315775","811823486.92439","1432261507.68922","2014744213.61751","3202197195.10964","2215485239.62548","2072395953.81783","2286943429.44221","3204274077.32865","3369885382.79941","4725318822.79505","4433483033.46745","4456593281.99332","4583873527.19409","5365383507.1307","5711827336.47751","6103699004.14264","6658770289.18122","7470909930.61089","8055497623.92297","8372342258.53806","9077071464.2749","10675071099.0117","13522663539.1667","14146359613.4802","15219359575.3937","15087811903.6616","18529923697.6481","21010295842.2662","27617445822.5769","77238765358.1158","31694454694.0486","26104201597.7902","32785291883.4009","37269318422.5758","47035150430.9523","68202650660.2746","78424381665.0826","93673676441.6517","85117639746.5666","95059913966.8689","99194475478.7452","",
"Argentina","ARG","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","422000000","196000000","54000000","192000000","82000000","170000000","132000000","643010000","650650000","402790000","532570000","192447207.124964","313304055.175402","1148704505.79734","1144325481.31192","287785746.10848","1444855224.28095","3153791555.42708","4966494541.78131","9388041760.12705","6719462057.32018","3268356776.17427","2506393809.47172","1172355965.03204","1242617532.02895","3273000000","2718000000","1617000000","3363457536.56928","1463302257.73386","4592335362.99099","6004650836.08691","9989728906.7334","13791118837.702","14326930188.189","14287809201.6387","18103917851.0624","22319837893.1717","24752133225.8541","26252058986.3723","25146902694.4134","14553064259.6102","10489340068.7375","14153439664.9625","18884342753.9788","27178838501.5579","30903465112.9806","44682056855.7802","44854620206.9801","46092988635.3253","49733869724.0928","43226830957.7587","39920301983.203","28143038630.9564","29016954813.9639","23416510884.8894","36323299976.5464","53030809531.8904","63963922085.1007","",
"Armenia","ARM","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293750.05156269","13586867.7923464","32275582.6908787","99579785.1732054","155647171.082148","228749730.041881","280730039.090431","290856911.181036","301959862.802207","317217930.091138","415584870.589201","501977062.059943","547758869.582332","669480407.701409","1071917964.48804","1659090453.02799","1406800823.43428","2003623407.8546","1865824296.86233","1932471998.58389","1799374398.90816","2251610255.35403","1489443370.96659","1775293493.7543","2204113991.25512","2314113951.27386","2259321868.53197","",
"American Samoa","ASM","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","11232962.9630432","7816666.66671753","7336296.2963562","8520000","9930000","15440000","16580000","28260000","25600000","28030000","28070000","27500000","32540000","50520000","37806867.7923464","45808258.3579926","59438706.3419391","47738676.6211506","50698392.3405725","59367608.1802758","69730255.8351668","63558884.5284907","79718831.0402204","87648341.4624844","113767366.731074","120139161.912642","127320746.176333","142632588.752235","143848808.510004","138022502.557881","127860399.429427","136600155.264423","147868733.577765","162045101.996445","202580586.969295","297046137.541925","355728253.383608","330090979.265027","313645370.808951","328659747.502549","",
